Country,Coffee type,Year,Production,Continent,Year_clean
El Salvador,Arabica,1992/93,180060000.0,Central America,1992
Equatorial Guinea,Robusta,1992/93,120000.0,Africa,1992
Ethiopia,Arabica,1992/93,109500000.0,Africa,1992
Gabon,Robusta,1992/93,180000.0,Africa,1992
Ghana,Robusta,1992/93,2220000.0,Africa,1992
Guatemala,Arabica/Robusta,1992/93,259080000.0,Central America,1992
Guinea,Robusta,1992/93,4560000.0,Africa,1992
Guyana,Robusta,1992/93,0.0,South America,1992
Honduras,Arabica,1992/93,115080000.0,Central America,1992
India,Robusta/Arabica,1992/93,169380000.0,Asia,1992
Jamaica,Arabica,1992/93,1560000.0,Central America,1992
Kenya,Arabica,1992/93,78960000.0,Africa,1992
Laos,Robusta,1992/93,0.0,Asia,1992
Liberia,Robusta,1992/93,180000.0,Africa,1992
Mexico,Arabica/Robusta,1992/93,204060000.0,North America,1992
Nepal,Arabica,1992/93,0.0,Asia,1992
Nicaragua,Arabica,1992/93,32820000.0,Central America,1992
Nigeria,Robusta,1992/93,2940000.0,Africa,1992
Panama,Arabica,1992/93,11820000.0,Central America,1992
Sierra Leone,Robusta,1992/93,2340000.0,Africa,1992
Sri Lanka,Robusta/Arabica,1992/93,3180000.0,Asia,1992
Thailand,Robusta/Arabica,1992/93,75300000.0,Asia,1992
Togo,Robusta,1992/93,5160000.0,Africa,1992
Trinidad and Tobago,Robusta,1992/93,840000.0,Central America,1992
Uganda,Robusta/Arabica,1992/93,131100000.0,Africa,1992
Venezuela,Arabica,1992/93,72900000.0,South America,1992
Vietnam,Robusta/Arabica,1992/93,140400000.0,Asia,1992
Yemen,Arabica,1992/93,0.0,Asia,1992
Angola,Robusta/Arabica,1993/94,1980000.0,Africa,1993
Bolivia,Arabica,1993/94,3060000.0,South America,1993
Brazil,Arabica/Robusta,1993/94,1690020000.0,South America,1993
Burundi,Arabica/Robusta,1993/94,23580000.0,Africa,1993
Ecuador,Arabica/Robusta,1993/94,124140000.0,South America,1993
Indonesia,Robusta/Arabica,1993/94,404580000.0,Asia,1993
Madagascar,Robusta,1993/94,26520000.0,Africa,1993
Malawi,Arabica,1993/94,3720000.0,Africa,1993
Papua New Guinea,Arabica/Robusta,1993/94,61140000.0,Oceania,1993
Paraguay,Arabica,1993/94,4020000.0,South America,1993
Peru,Arabica,1993/94,39900000.0,South America,1993
Rwanda,Arabica,1993/94,26640000.0,Africa,1993
East Timor,Arabica,1993/94,0.0,Asia,1993
Zimbabwe,Arabica,1993/94,720000.0,Africa,1993
Congo,Robusta,1993/94,180000.0,Africa,1993
Cuba,Arabica,1993/94,17100000.0,Central America,1993
Dominican Republic,Arabica/Robusta,1993/94,36240000.0,Central America,1993
Haiti,Arabica,1993/94,27060000.0,Central America,1993
Philippines,Robusta/Arabica,1993/94,52500000.0,Asia,1993
Tanzania,Arabica/Robusta,1993/94,44040000.0,Africa,1993
Zambia,Arabica,1993/94,1620000.0,Africa,1993
Cameroon,Robusta/Arabica,1993/94,40980000.0,Africa,1993
Central African Republic,Robusta,1993/94,9960000.0,Africa,1993
Colombia,Arabica,1993/94,685320000.0,South America,1993
